UK37,Temp
-0.584093872,6.25
-0.549520767,5.05
-0.599582173,4.08
-0.58679868,4.38
-0.597862767,4.38
-0.594312796,3.98
-0.59064178,3.67
-0.567219153,5.4
-0.553286535,5.15
-0.561151079,4.65
-0.568372093,4.07
-0.523333333,6.99
-0.540154015,6.19
-0.550824176,5.08
-0.571601522,4.16
-0.543660159,3.98
-0.598019802,4.02
-0.570998379,7.09
-0.5637847,6.1
-0.563098758,5.65
-0.576091082,4.88
-0.588772353,4.73
-0.60162335,4.2
-0.601256329,3.84
-0.600762527,3.44
-0.594942197,3.12
-0.560075592,7.49
-0.56244149,7.45
-0.557577864,7.17
-0.574297521,7.03
-0.574149768,6.55
-0.596613912,6.02
-0.600432484,4.38
-0.390423573,12.29
-0.413899614,12.02
-0.430045294,11.78
-0.436984688,11.73
-0.456095283,10.96
-0.503441244,9.55
-0.533538462,8.28
-0.56430332,6.37
-0.561564314,5.2
-0.388613861,15.32
-0.377358491,15.32
-0.387864366,14.65
-0.30557567,12.43
-0.398058252,11.16
-0.46909947,9.46
-0.48139668,8.22
-0.499107674,7.18
-0.513892564,6.22
-0.534804368,5.34