MBT5me,Temp
0.75,21.8
0.65,25.3
0.95,25.6
0.94,26.8
0.96,26.8
0.93,22.3
0.97,26.8
0.97,25.4
0.94,24.2
0.92,26.1
0.62,18.2
0.45,20.3
0.53,17.6
0.96,24
0.93,28.9
0.92,28
0.9,28.3
0.88,25.6
0.93,26.3
0.94,26.7
0.91,27.8
0.84,22.7
0.89,26.7
0.69,21.8
0.83,21.7
0.85,21.1
0.64,20.8
0.72,20.5
0.59,20.3
0.58,20.2
0.66,20
0.53,19.8
0.56,19.7
0.48,19.4
0.59,19.2
0.52,19
0.53,18.8
0.56,18.6
0.44,18.4
0.5,18.3
0.48,18
0.5,17.6
0.68,16.7
0.47,16.6
0.6,16.3
0.51,15.5
0.46,15.2
0.48,14.5
0.36,14.4
0.42,14
0.6,13.9
0.32,13.8
0.44,13.5
0.35,13.4
0.42,10
0.4,9.3
0.4,9
0.88,20.5
0.98,26.1
0.99,26.4
0.7,9.7
0.95,25.7
0.97,25.6
0.94,21.2
1,21.2
0.71,15.9
0.49,15.4
0.43,16.6
0.47,20.9
0.46,18
0.48,20.4
0.45,20.4
0.52,20.4
0.45,24.2
0.45,16.9
0.49,16.7
0.67,24.3
0.53,24.3
0.48,24.3
0.67,24.3
0.5,24.3
0.55,24.3
0.55,24.3
0.78,24.3
0.66,24.3
0.51,24.3
0.49,25.4
0.43,24.3
0.41,24.3
0.66,18.3
0.41,13
0.43,16.1
0.44,16.8
0.52,20.9
0.52,16.8
0.9,26.6
0.99,25.2
0.99,25.3
0.98,27.1
0.98,24.8
0.96,27.1
0.93,24.4
0.57,12.6
0.32,14.6
0.47,17.5
0.99,28.8
0.57,27.3
0.6,27.3
0.46,7.7
0.46,9.4
0.38,10.6
0.58,14.5
0.69,23.6
0.62,24.4
0.64,24.4
0.67,25.8
0.59,16.8
0.63,17.3
0.57,17.3
0.99,27.9
0.92,28.8
0.45,14
0.57,13.8
1,27
0.96,26.3
1,27
0.99,27
0.95,27
0.51,12.3
0.99,27.9
0.87,21.4
0.91,22.7
0.91,21.4
0.92,22.8
0.58,23.1
0.49,23.1
0.33,5.3
0.46,5.3
0.36,5.3
0.41,5.3
0.41,5.3
0.4,5.3
0.25,5.3
0.26,5.3
0.4,5.3
0.57,15
0.69,14.7
0.52,17.1
0.52,16.9
0.58,17.3
0.51,17.3
0.58,17.3
0.56,17.3
0.72,20.7
0.89,23.2
0.89,24.3
0.89,24.9
0.88,25.5
0.94,20.8
0.77,26
0.39,14.7
0.65,18.8
0.61,18.8
0.65,21.3
0.5,23.6
0.37,15
0.41,15
0.38,23
0.38,23
0.74,22.5
0.63,19.1
0.71,19.1
0.79,19.1
0.81,26.1
0.82,26.1
0.82,26.1
0.7,28.8
0.42,19.2
0.53,22.7
0.76,25.9
0.77,25.9
0.45,10.8
0.55,10.8
0.46,24.9
0.69,20.5
0.72,10.8
0.53,15.8
0.63,22
0.59,22
0.66,22
0.64,22
0.53,20.2
0.51,20.2
0.71,26.1
0.77,26.1
0.95,25.4
0.82,26.3
1,31.4
0.36,14.3
0.36,14.3
0.63,21.7
0.52,22.6
0.6,22.5
0.48,22.5
0.58,17.5
0.45,20.4
0.81,29.1
0.8,29.1
0.37,22.7
0.94,20.4
0.27,9
0.29,9
0.5,18.9
0.4,9
0.37,19.5
0.42,19.5
0.3,19.5
0.86,24.6
0.81,24.6
0.42,24.6
0.78,24.6
0.47,16.8
0.48,16.8
0.77,20.8
0.92,24.9
0.98,24.9
0.55,16.3
0.29,6.1
0.5,12.5
0.44,14.9
0.72,19.9
0.75,14.7
0.43,7.3
0.5,16.9
0.68,20.5
0.73,21.7
0.58,16.9
0.4,17.7
0.46,8.6
0.67,21.4
0.32,6.8
0.78,21.1
0.49,17.5
0.55,12.2
0.45,17.9
0.48,17.6
0.41,17.6
0.72,14.7
0.68,20.5
0.83,21.8
0.76,22.1
0.47,12.9
0.79,22.9
0.39,12.9
0.4,9.4
0.53,8.6
0.24,9.2
0.44,7.3
0.22,14.9
0.47,12.7
0.29,5.5
0.28,6.3
0.21,5.1
0.3,7
0.56,15.1
0.44,10.8
0.41,10.8
0.46,6.8
0.46,6.8
0.47,6.8
0.33,8.4
0.49,6.8
0.4,10.8
0.32,8.4
0.32,6.9
0.35,5.7
0.36,8.8
0.39,10.8
0.37,8.4
0.44,6.8
0.52,18
0.45,18
0.47,19.1
0.48,19.1
0.45,19.1
0.47,19.1
0.55,20.1
0.52,20.1
0.53,20.1
0.54,21
0.58,21
0.69,22
0.62,22
0.59,22
0.73,22.5
0.65,22.8
0.63,22.8
0.78,24.2
0.73,24.3
0.69,24.3
0.79,25.5
0.77,25.5
0.79,25.5
0.83,25.9
0.85,25.9
0.63,21
0.72,20.3
0.76,20.3
0.76,20.3
0.65,19.9
0.72,19.9
0.81,18.6
0.79,18.6
0.89,18.6
0.77,18.6
0.85,19.7
0.82,19.7
0.77,19.7
0.78,19.7
0.84,20.2
0.74,20.1
0.84,20.1
0.77,20.1
0.83,20.1
0.87,24.9
0.82,26.2
0.88,26.2
0.84,24.9
0.84,24.9
0.79,24.9
0.81,24.9
0.81,24.9
0.84,25.8
0.78,25.2
0.8,25.8
0.88,25.2
0.87,25.2
0.79,25.2
0.81,25.2
0.83,25.2
0.75,25.2
0.82,25.2
0.85,25.2
0.79,25.2
0.79,25.2
0.86,25.2
0.88,26.2
0.81,25.2
0.87,24.9
0.83,26.1